"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"1",1,-24.2276736456824,-36.9341215619557,-71.6926976376767,-72.3421070335161,-71.0845721387725,-275.22928166568,-296.296661285659,-414.403263612165,-417.07724475957,-414.189330483361
"2",2,28.073372795954,6.34588883439594,-48.8630578151838,-48.7071185106744,-46.5741008144646,-284.561977472314,-305.443799670543,-415.271658295679,-417.010934567995,-414.392706270226
"3",3,-32.6307877601428,-43.1574884888481,-74.8672706365313,-76.1440347500462,-75.1666000934731,-285.650591789781,-304.664452980376,-414.398003430634,-417.58736181496,-415.195830652559
"4",4,-30.6652242783994,-42.3034805572188,-74.5977751675895,-75.061094815598,-73.8699920347355,-283.367680337614,-303.251317355523,-414.398005922452,-417.513109692913,-414.153173567033
"5",5,-30.1911253140037,-40.7471342334919,-75.5874157070847,-74.9250619017134,-73.3337701808744,-285.062031663642,-306.856790634816,-414.412383387148,-417.046787061839,-413.617139958912
"6",6,-14.3125238835586,-26.4372196526828,-66.8940164887369,-67.6634299240763,-65.847261571344,-285.363336455539,-302.773011425845,-414.429281263369,-416.872275999405,-414.187597075314
"7",7,-28.2637833206689,-41.1931170662959,-73.9919623528728,-75.1628360242846,-74.5311843945342,-282.876659128747,-303.779434913305,-414.398192025296,-417.240525450147,-413.750259474944
"8",8,-23.6651681437563,-35.3522824358753,-71.008113396116,-71.9430083790978,-70.5693565833638,-286.81841353827,-304.843806228328,-414.398840623875,-417.247421661315,-414.249974960336
"9",9,-30.0793012157405,-39.854766506791,-73.681085118805,-74.6701290395668,-73.2007732726272,-284.373856817997,-302.631633534428,-414.398006139879,-417.590187352526,-414.707648457334
"10",10,26.040874122661,5.56385664670629,-49.7428061609073,-49.4820315846995,-47.3474155935103,-280.217171601224,-300.430701608377,-414.839950888352,-416.754330890996,-414.319186607664
"11",11,10.900704017521,-7.87165485051642,-55.2774620995484,-55.5318590684091,-53.5961133310777,-285.206612485929,-303.746668295955,-414.595216902374,-417.347436553174,-414.850701327278
"12",12,-30.9344335073048,-40.8783795072614,-75.0573351329529,-76.3966553059362,-74.9768372143538,-282.4119433969,-303.281704263262,-414.398006640176,-417.573260485002,-414.548017005264
"13",13,-33.9002602511009,-43.2591309875164,-75.9216692030716,-76.7273284097279,-75.5084398018995,-286.412942319191,-306.159182823014,-414.398008120735,-417.485486651906,-414.254327459623
"14",14,85.8145157254796,51.9522441822511,-35.6105213641476,-77.4519861319567,-76.3316031388235,-284.747002056646,-305.187363769542,-414.392778927908,-417.59294824743,-414.034169613023
"15",15,-32.8603299739431,-42.8955966622696,-75.0319074216893,-76.414026740636,-75.2987740094508,-285.450509666674,-304.125845745792,-414.397999723633,-417.585628470227,-414.301391032711
"16",16,182.613984714701,132.959703579933,-34.0382986119593,-75.7703078364158,-74.536012987837,-231.040426374488,-263.064719934847,-414.113689828499,-416.884140299734,-413.719945569776
"17",17,-31.8817198250405,-43.0209783677129,-74.6539370283419,-75.5669403929447,-74.5363588402403,-286.503144832829,-305.709658297952,-414.398007302539,-417.529092501048,-414.908952520809
"18",18,-28.433080373928,-39.2736604491244,-73.9145234772228,-75.7372759763178,-74.2865705236574,-279.878715846876,-300.151382128778,-414.398714572083,-417.207095006848,-413.134293470822
"19",19,-26.7060495529625,-39.474092652456,-73.7447696386965,-74.8880562857845,-73.5851139062749,-283.319786800799,-305.761319536814,-414.398008664509,-417.399142080309,-414.681958120974
"20",20,-29.9983752480519,-40.3664100470804,-74.4096371843265,-74.8963972727034,-73.3205894146333,-281.479049301513,-301.992497217171,-414.39800514636,-417.580991510245,-414.953985050532
"21",21,-18.87683746616,-31.7375777509161,-69.7569641221871,-71.1012174336403,-69.6059687747516,-287.989528525085,-306.792139368737,-414.415388492478,-416.951351230541,-413.992853060175
"22",22,-26.5887698982594,-39.2169631838912,-73.6487239002304,-74.3684165570486,-73.3775049541376,-277.926038549139,-300.26705010739,-414.403546589409,-416.875735392012,-413.761963927441
"23",23,-34.5353062541174,-42.3247073041813,-77.1988315353748,-78.4555797225973,-76.7357909900229,-282.746768150391,-302.212017171679,-414.398006280893,-417.546955287706,-414.415103831936
"24",24,-30.4000531387947,-42.676552350368,-74.5613177730769,-75.1215498545457,-74.0920606156989,-282.567709474375,-303.228925825446,-414.39803833711,-417.402034528891,-413.283704273363
"25",25,-26.7891730330618,-40.038098358431,-71.9366239471298,-72.104067822791,-71.2184361375078,-286.515676889285,-305.811033906082,-414.398006823456,-417.589990756698,-414.710595108774
"26",26,-25.5044086696205,-37.7642123985595,-70.9937212047876,-71.6771878545863,-70.5090264469497,-286.111996106109,-304.703599366535,-414.397994773943,-417.587450161785,-414.413582376372
"27",27,-29.7202564966183,-41.0885889557693,-73.6719139612344,-74.6903429502412,-73.6496377335533,-285.206966755271,-303.665845972561,-414.398006807992,-417.589809156748,-414.181336549209
"28",28,-28.2026204952434,-39.8689003616124,-74.1583694958761,-74.9092680575858,-73.5307660919325,-271.406257790243,-295.121786617572,-414.411257091995,-416.957835483718,-414.1711557474
"29",29,-10.1548088393937,-22.7117553940663,-65.1085245170007,-65.5628104875815,-63.7087276342589,-287.258890099265,-306.185959512621,-414.491017021299,-416.737511084668,-414.232668223754
"30",30,-35.2941764695572,-44.7420994660962,-76.8837591190473,-78.1685894291734,-77.0584022078187,-287.735423812186,-307.561246466589,-414.398474404227,-417.314779019264,-414.193883257474
"31",31,-22.4537644739194,-34.9067259820647,-70.1493886601902,-71.2839704967188,-70.0877148821083,-287.816536420364,-306.437000230041,-414.401306755998,-417.137576022922,-414.027534054712
"32",32,-25.9788507207415,-35.6614135437725,-73.0693537826203,-73.8815884096079,-72.1702747497903,-272.84286799333,-294.658857889366,-414.412888774338,-416.944249520455,-414.437939722762
"33",33,38.7582359938727,14.641188370427,-44.8190179348067,-44.1032622778355,-41.9615973881866,-285.052691926812,-304.084692099412,-415.022155081106,-417.164568417112,-414.788648721919
"34",34,-32.6111190857396,-43.5384127405627,-75.2134248924019,-76.0390422120387,-75.1318529879706,-287.396542884638,-306.434640978162,-414.398007190961,-417.559659015923,-412.888523041065
"35",35,-23.9549839330056,-34.9391870059343,-71.313251708655,-72.1935588399393,-70.640820390309,-286.102518034404,-303.620780056935,-414.398597388958,-417.269386846469,-413.835543072927
"36",36,-30.952110627379,-40.9625923295595,-74.0652241371525,-74.7439684475173,-73.3497977389008,-284.934154765413,-303.465350317316,-414.398006686114,-417.590150396849,-415.109474154582
"37",37,29.0031681980678,7.4344719854216,-48.0953142945269,-48.5419451335377,-46.4319673101038,-284.39900785958,-303.350479991976,-415.26950487553,-417.303135614987,-414.942434453934
"38",38,-27.5647404306813,-40.1405424343853,-72.3777472555998,-73.1779640744515,-72.3812035925658,-286.590035677551,-305.743853024779,-414.398006858068,-417.57532038879,-414.982166255501
"39",39,-33.1945068137985,-43.7211653772838,-76.1902909144706,-78.1743709791885,-77.507839855027,-284.534075413131,-303.087838073283,-414.398005040873,-417.587478580713,-415.110909734541
"40",40,-31.8877686901394,-41.669622847763,-74.1283663864517,-74.5894129320482,-73.3270527516666,-287.458767837668,-306.06585081463,-414.398007333141,-417.583468660858,-415.122980851377
"41",41,-21.7002466415746,-36.9830785490947,-70.8807065508738,-71.5821318111317,-70.6702797277934,-261.277834762858,-287.323415733605,-414.445312011567,-416.726701603083,-413.834710735953
"42",42,-31.0766740448378,-40.5206183488513,-75.3552300047508,-76.9472185700696,-75.5144641757536,-280.313281756094,-300.304754221592,-414.399107487262,-417.223677267167,-414.045574818811
"43",43,-14.7190986838688,-31.048204970948,-67.6046829684503,-68.386726257574,-67.4357940825501,-242.300572942646,-271.983894993735,-414.428672951653,-416.597271930516,-414.164457450921
"44",44,-31.8299588743546,-41.8481898015179,-74.6112866965414,-75.8092830199187,-74.6122647463846,-286.52625646485,-304.895716399909,-414.398006347321,-417.564113599992,-413.622891465193
"45",45,-32.374136659855,-42.8324190332882,-74.5524897241636,-75.2217985454861,-74.1539501591806,-287.369648820337,-306.217061561743,-414.397983738271,-417.570093121496,-414.968703566306
"46",46,-31.4830245227001,-43.3429740006104,-74.1922554203278,-74.7477354370889,-73.7905943781337,-286.332325363223,-306.473777738031,-414.398003800047,-417.569614959483,-413.98708349999
"47",47,-22.0739156949018,-36.6775223747058,-70.0412586915631,-70.7878529038844,-70.1426344137661,-287.006807607907,-308.305734515629,-414.398007135406,-417.512097217234,-414.989840609597
"48",48,-33.81077209275,-43.9272312723116,-75.5871500738879,-76.9973621473736,-75.9395408880456,-284.861912119291,-304.133953940154,-414.397871693066,-417.564150577469,-414.370041798999
"49",49,-27.4317028730026,-40.869595564283,-72.7685548509049,-73.7690907526385,-73.1913353497847,-283.453078332185,-304.650638397856,-414.398310244521,-417.30407122213,-414.40853235928
"50",50,-19.2763134045964,-32.2349251077323,-68.9743466629792,-69.5541762459162,-68.058487538927,-288.374827736929,-306.379614049849,-414.398447122807,-417.285968529449,-414.678633186861
"51",51,74.4727866241756,44.8743451841775,-34.9416754419332,-78.0231486433448,-77.0773889306996,-279.116430037884,-300.636806460267,-415.797912882492,-417.50887117892,-414.930287410147
"52",52,-34.8597184284712,-40.7090310139571,-77.0673561588949,-77.6519399134219,-75.8358956663213,-286.086808772783,-302.99341149276,-414.398006431835,-417.639578076748,-415.075001949728
"53",53,-14.8064241019686,-29.6816184897922,-67.0896844759859,-68.2104137099375,-66.9879558438531,-285.24815459309,-306.521712073731,-414.397764064613,-417.543033155622,-415.081050385042
"54",54,-33.7067689260819,-42.694344515413,-75.3452823803904,-76.6377573470467,-75.4592486360553,-286.699296981535,-307.363032997693,-414.398004616491,-417.5880955706,-414.245022405522
"55",55,-33.0121660416027,-43.0367265201813,-75.1044464295267,-75.9860554663374,-74.733002675201,-284.894525714384,-303.845237901442,-414.398005022563,-417.5901180732,-414.56728365487
"56",56,40.4016587094736,17.7270663397764,-43.998993894952,-43.3079026039874,-41.2293437044625,-281.627013725798,-300.683357265882,-415.396024851597,-417.482923715859,-415.059919118343
"57",57,-27.501385659381,-40.1703019731915,-73.2424636517252,-74.1948871157763,-73.4493395936427,-281.528230420957,-302.30498852217,-414.398498559427,-417.263030493836,-413.60235758326
"58",58,-38.1726654130937,-43.6286601304799,-78.6864178891865,-79.3246468193241,-77.9003026527099,-289.38575649616,-307.453228454843,-414.398026487625,-417.819816877595,-415.078334165753
"59",59,-27.7879460394256,-40.4891879632335,-71.8634626369852,-72.8740586649314,-72.1327684329356,-286.87450771833,-306.651508349751,-414.398005758169,-417.588677917239,-415.007484100845
"60",60,-31.8783024736505,-41.4998950844622,-74.0363224698692,-75.0377092869028,-73.770194970214,-285.805631545579,-303.665723114295,-414.39800515543,-417.590448728803,-415.032107753096
"61",61,28.9614100791253,8.48966778550207,-48.5416465589941,-49.1586633281845,-47.0149721629733,-282.776976066053,-301.185579739267,-415.269499880729,-417.357198956349,-414.625259281868
"62",62,-30.5318727859381,-41.2157255934988,-74.2406073491636,-74.9844542651986,-73.7281110895576,-287.728916969106,-305.90258532551,-414.398082443395,-417.363418540878,-412.040971798419
"63",63,-32.5259300894571,-41.8361513761451,-75.0437529606695,-76.2318481321171,-74.8784475096976,-285.434693609148,-303.0004679392,-414.397998280199,-417.590462137147,-413.841459983535
"64",64,-27.0508708949257,-38.7102942770178,-71.8846274204373,-73.4990359607403,-72.4643771058991,-287.070997518175,-305.660941935093,-414.398005972149,-417.590546363302,-415.196079593324
"65",65,-21.813215248782,-34.8494464226922,-70.7764040697955,-70.8026504975864,-69.2920034709171,-280.295521965175,-300.671996393333,-414.397997134942,-417.381982700057,-414.626945314489
"66",66,-34.3230457601866,-44.2942495855629,-76.5412576586192,-77.6756661638062,-76.5689016673634,-284.46164961177,-303.750449888404,-414.398005784526,-417.518176685295,-414.611598161661
"67",67,-23.7026811501032,-36.701586805051,-71.4345587053071,-71.4295455786838,-70.3052302706756,-287.526202820525,-307.339481363777,-414.398495735929,-417.187849017303,-411.926474072513
"68",68,-18.788280147394,-32.3266789007695,-68.8564057013259,-70.1686117228411,-68.8837710443258,-285.020968838472,-304.660369952321,-414.397999693943,-417.553594910097,-414.805998420459
"69",69,-27.1257153763804,-39.0800850003561,-71.6941604530275,-72.67631843444,-71.5051475832062,-286.910896806349,-305.523348202086,-414.398005529483,-417.585591376692,-414.969481294308
"70",70,-29.9124140416742,-39.1683829124775,-74.3261242672266,-74.8337894620934,-73.3104448643734,-287.393816268123,-307.15503774427,-414.39800092837,-417.501742107213,-412.741555471153
"71",71,3.54079828886288,-14.371678302295,-58.9376548880025,-59.522515866452,-57.8088988293548,-276.253818552252,-297.04250047004,-414.400958023521,-417.861067332118,-415.338209485741
"72",72,-27.1110258299828,-39.4587654810371,-72.0950920258353,-73.0391956426868,-72.0328803785927,-286.21849277787,-305.208022413381,-414.398047086614,-417.420443156289,-414.625535816817
"73",73,-32.8040214509524,-41.241391687384,-75.7866764014434,-76.7297673373841,-75.1082101834021,-285.746376390848,-304.535928302912,-414.3980072824,-417.569274747973,-414.642428065564
"74",74,-18.3961817324331,-32.8104092507902,-69.054191315749,-69.093521988627,-67.7432928237562,-276.834026983155,-298.046481490015,-414.397533400622,-417.316484570695,-414.796696928777
"75",75,-20.2999825192531,-33.8845981162866,-68.2636619792526,-68.9190128859489,-67.4094488963211,-286.356782910452,-304.919908488763,-414.398007160247,-417.594321815325,-415.29342350671
"76",76,-32.7271093964593,-42.2521981798742,-75.0601765258398,-76.3464667677564,-75.0185134261557,-284.784118850314,-303.018872453656,-414.398003289081,-417.590147205339,-415.109311640676
"77",77,-32.7148172041507,-42.9027828576656,-74.5469366047303,-76.1311537592343,-75.1369484856905,-286.095204887391,-304.706343316786,-414.398005698269,-417.590213180255,-414.985516206412
"78",78,-32.0598136698451,-40.7694319042992,-75.2364788426659,-75.8607186546805,-74.1368371939597,-285.510168858912,-303.435730957396,-414.398005252943,-417.59226634536,-414.628493362394
"79",79,-13.9965703901611,-27.7389567926889,-66.5561368824455,-67.2399813782069,-65.6494075183272,-288.233489772291,-306.5038940244,-414.412012989314,-416.979101331085,-414.118292505776
"80",80,-30.0739071558927,-39.2671359349115,-73.7418695060784,-74.9167521202709,-73.2787282794288,-286.008457013875,-303.111184333466,-414.398005579086,-417.58648059234,-413.449781731296
"81",81,-30.1271249976943,-40.1599598697356,-74.1215001377376,-74.9097979426967,-73.4679790141552,-282.353567895207,-301.291325905043,-414.398003683984,-417.493594201986,-413.991931816055
"82",82,-27.3507721621367,-40.0301359206303,-72.8034762119289,-73.2518204236972,-72.1282917295633,-283.331258140593,-303.295330122137,-414.398005549372,-417.535381089399,-415.10517065616
"83",83,-29.3239796686494,-39.6256866692811,-73.111228455565,-74.2111589367467,-72.8228121669186,-284.927062678321,-303.480707537106,-414.398006736043,-417.590213458183,-414.845296949819
"84",84,-36.165086529915,-45.396835391518,-78.0879970218969,-78.9382712061371,-77.98607562415,-286.460512033851,-308.209599257937,-414.399141738705,-417.262081278917,-414.603591990113
"85",85,-31.1020030894029,-40.8292566591247,-74.2966440495749,-75.2270249518577,-73.7579416704499,-283.888270948945,-302.491018410882,-414.397998090138,-417.589800920498,-414.95952892905
"86",86,-28.758225302729,-39.437458860623,-73.9703796504655,-75.3414917829149,-74.0418467671908,-274.574405404799,-295.068345630556,-414.406103900666,-417.025581327814,-413.891024140167
"87",87,-33.6363519624173,-41.5080137074143,-76.1059338387782,-77.0791120936726,-75.3750041931734,-283.041827578968,-302.319873235933,-414.398007074771,-417.564246804201,-414.63173860169
"88",88,-17.2755327997253,-30.3402103662251,-67.6062237836133,-68.7786295706329,-67.3001445033576,-285.888140964821,-305.144208115515,-414.398007218849,-417.599702645026,-414.794616222997
"89",89,-31.2296695354631,-42.4467694313294,-75.2397799833952,-76.0779994530832,-75.1395143073006,-288.362253009603,-307.512259170565,-414.39802465661,-417.415068487977,-414.081321693421
"90",90,-35.5409165197567,-43.9852011626568,-77.0290618606796,-77.9107345505512,-76.6658877621857,-286.933503935367,-307.181285318773,-414.398005194035,-417.598017327347,-415.147989503885
"91",91,-31.7451736521286,-41.7351536255067,-74.9454843637962,-76.7065149763241,-75.4507893619294,-283.208646427507,-301.975686380594,-414.398005694127,-417.499423233637,-414.787178175173
"92",92,-34.4697106315797,-41.484603567822,-76.7466339115174,-77.1399890970239,-75.3461080202711,-285.763627449629,-303.709064362295,-414.398005701195,-417.592944039746,-414.772350011543
"93",93,31.7893973697686,9.77244224894489,-46.7845671227127,-46.8746739298447,-44.7420305654565,-284.001661962951,-303.345945935833,-415.290493155241,-417.382694665265,-414.442455589946
"94",94,-30.3072315088645,-39.7362187032862,-74.2094833540567,-75.0590099738528,-73.3397910446083,-285.485971142786,-302.477918059593,-414.398002084456,-417.570931373728,-412.91416622797
"95",95,-22.8792468298987,-36.4181736302591,-71.1201266911308,-71.8244816067057,-70.7961339051459,-272.967689718052,-294.904023063537,-414.412630496261,-416.946069649027,-413.264858917391
"96",96,-0.454990570188808,-16.8794116040206,-60.3205033431184,-61.0926577189115,-59.3279410229578,-287.174172584407,-305.868193722889,-414.736957732043,-416.85182429605,-414.439737784877
"97",97,-30.7738500464025,-40.7309037900604,-73.8751474908707,-75.1868157896447,-73.9048914194464,-285.831120065588,-303.630400807119,-414.397990947782,-417.590457866276,-414.364297379854
"98",98,83.2046917676417,53.3773270313788,-35.4415671821027,-78.0235691130724,-77.0584108491773,-277.544646798643,-299.915240144854,-415.85977579016,-417.895792502414,-415.430582721547
"99",99,-20.358778387943,-33.3711207950539,-68.627404558257,-70.0099620844966,-68.4919184796205,-287.071021197097,-305.102432691088,-414.398003392348,-417.594546648692,-415.045535334286
"100",100,-32.8097344395174,-43.6161128851086,-75.6493350465526,-76.5590603908486,-75.700664676718,-286.311083326489,-306.871867649543,-414.419320889405,-416.971053676875,-414.02354344732
